id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
9d7f62b9-9334-410c-a60c-0df1b047d1bc,Chiste sad002,Split,Competitive,Neon,Duelista,14,7,17,8,"['Clarament', 'Nano', 'nmarvip9', 'kiike']",Bronze,2,"['Skye', 'Yoru', 'Brimstone', 'Neon', 'Sage']",191.364,2,4,0,9,13
793f769a-fc9b-4902-8ccc-a2715ce687ab,Chiste sad002,Split,Competitive,Neon,Duelista,25,5,21,16,"['AGUSMARCPRO0611', 'skiinnyglaasss', 'PATROCLOT', 'Akise san']",Bronze,2,"['Omen', 'Chamber', 'Neon', 'Sage', 'Sova']",248.750,4,1,0,14,14
17806c20-9a29-42b0-a891-d3c7e4a865ab,Chiste sad002,Pearl,Competitive,Neon,Duelista,16,2,16,17,"['Løu', 'Sacapuntas', 'EFN334', '3 L3tra 乂']",Bronze,2,"['Neon', 'Skye', 'Deadlock', 'Clove', 'Jett']",192.261,1,4,1,13,10
cb3d7345-b2c4-48c0-8410-92502c39db42,Chiste sad002,Bind,Competitive,Neon,Duelista,20,2,21,14,"['Aaronnn17', 'Axyela2508', 'mamipito', 'rondax']",Bronze,2,"['Brimstone', 'Sage', 'Neon', 'Killjoy', 'Skye']",220.423,1,7,0,12,14
abee52cc-4911-4576-b7a8-56e64991e325,Chiste sad002,Sunset,Unrated,Deadlock,Centinela,7,4,16,4,"['Alvaro28', 'Tatequieto7645', 'mamipito', 'papa pito']",Unrated,,"['Miks', 'Iso', 'Deadlock', 'Skye', 'Sage']",148.438,2,3,0,3,13
50491aeb-07d4-4a9a-9d3d-57a619dfb287,Chiste sad002,Pearl,Competitive,Neon,Duelista,14,3,18,9,"['papa pito', 'MaamaPou', 'PaapaPou', 'Rufustuner']",Bronze,2,"['Astra', 'Neon', 'Sage', 'Breach', 'Chamber']",207.304,2,3,0,10,13
38a947ae-5a10-4dca-ac93-38d2eb81a6bb,Chiste sad002,Haven,Unrated,Gekko,Iniciador,13,1,18,4,"['papa pito', 'pinkmoth', 'angelutrix', 'mamipito']",Unrated,,"['Omen', 'Sage', 'Vyse', 'Jett', 'Gekko']",135.400,2,2,1,13,12
bfef624e-d376-44fb-9904-fa94176c1c10,Chiste sad002,Lotus,Unrated,Vyse,Centinela,3,2,12,4,"['mamipito', 'julen113', 'angelutrix', 'papa pito']",Unrated,,"['Vyse', 'KAY/O', 'Reyna', 'Brimstone', 'Skye']",74.188,0,0,0,3,10
fdd4469f-d72e-4963-b5b7-2948a130e34d,Chiste sad002,Ascent,Swiftplay,Gekko,Iniciador,4,1,8,1,"['juanmita11', 'papa pito', 'Proex411', 'angelutrix']",Unrated,,"['Astra', 'Gekko', 'Reyna', 'Killjoy', 'Chamber']",106.222,0,2,0,4,5
aee13bbe-fba8-4ff4-8502-2659320d5f97,Chiste sad002,Fracture,Competitive,Gekko,Iniciador,10,7,13,5,"['miguelomaluco', 'nocesaxd', 'spider man', 'Gora愛']",Bronze,2,"['Gekko', 'Jett', 'Sage', 'Clove', 'Chamber']",154.211,2,2,1,13,6
767dc04e-77ae-4fa9-b5b8-28e30ea0fcc4,Chiste sad002,Pearl,Competitive,Neon,Duelista,21,2,14,15,"['TOCXITO', 'kenn', 'HACENDADO', 'XCXG4MEZ']",Bronze,2,"['Neon', 'Reyna', 'Chamber', 'Tejo', 'Viper']",278.667,5,1,1,13,8
f921d62e-c395-4ce6-9ea1-945589cfc47c,Chiste sad002,Icebox,Unrated,Neon,Duelista,11,3,17,11,"['Aaronnn17', 'titanacorazado14', 'coda666', 'Axyela2508']",Unrated,,"['Harbor', 'Sova', 'Jett', 'Vyse', 'Neon']",214.000,0,7,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,Chiste sad002,Breeze,Premier,Neon,Duelista,10,1,18,8,"['Axyela2508', 'papa pito', 'Aaronnn17', 'angelutrix']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",144.095,1,5,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,Chiste sad002,Breeze,Premier,Neon,Duelista,10,4,17,9,"['Axyela2508', 'Aaronnn17', 'papa pito', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",176.111,2,4,0,5,13
afd0ea2f-2234-4606-95ae-0cb12fb4ca25,Chiste sad002,Sunset,Unrated,Gekko,Iniciador,19,2,20,6,"['Capitán Cachopo', 'mamipito', 'rondax', '色 Mako 420色']",Unrated,,"['Gekko', 'Chamber', 'Omen', 'Phoenix', 'Reyna']",215.200,2,1,1,13,12
d03bea05-5418-4ef6-a096-ee9c546f3027,Chiste sad002,Ascent,Competitive,Neon,Duelista,11,5,17,5,"['PITI8', 'MrCurrito', 'ДУХИ', 'XxHvFxX2511']",Bronze,2,"['Neon', 'Killjoy', 'Tejo', 'KAY/O', 'Miks']",238.059,3,3,0,4,13
767dc04e-77ae-4fa9-b5b8-28e30ea0fcc4,Chiste sad002,Pearl,Competitive,Neon,Duelista,21,2,14,15,"['TOCXITO', 'kenn', 'HACENDADO', 'XCXG4MEZ']",Bronze,2,"['Neon', 'Reyna', 'Chamber', 'Tejo', 'Viper']",278.667,5,1,1,13,8
f921d62e-c395-4ce6-9ea1-945589cfc47c,Chiste sad002,Icebox,Unrated,Neon,Duelista,11,3,17,11,"['Aaronnn17', 'titanacorazado14', 'coda666', 'Axyela2508']",Unrated,,"['Harbor', 'Sova', 'Jett', 'Vyse', 'Neon']",214.000,0,7,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,Chiste sad002,Breeze,Premier,Neon,Duelista,10,1,18,8,"['Axyela2508', 'papa pito', 'Aaronnn17', 'angelutrix']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",144.095,1,5,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,Chiste sad002,Breeze,Premier,Neon,Duelista,10,4,17,9,"['Axyela2508', 'Aaronnn17', 'papa pito', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",176.111,2,4,0,5,13
d03bea05-5418-4ef6-a096-ee9c546f3027,Chiste sad002,Ascent,Competitive,Neon,Duelista,11,5,17,5,"['PITI8', 'MrCurrito', 'ДУХИ', 'XxHvFxX2511']",Bronze,2,"['Neon', 'Killjoy', 'Tejo', 'KAY/O', 'Miks']",238.059,3,3,0,4,13
767dc04e-77ae-4fa9-b5b8-28e30ea0fcc4,Chiste sad002,Pearl,Competitive,Neon,Duelista,21,2,14,15,"['TOCXITO', 'kenn', 'HACENDADO', 'XCXG4MEZ']",Bronze,2,"['Neon', 'Reyna', 'Chamber', 'Tejo', 'Viper']",278.667,5,1,1,13,8
f921d62e-c395-4ce6-9ea1-945589cfc47c,Chiste sad002,Icebox,Unrated,Neon,Duelista,11,3,17,11,"['Aaronnn17', 'titanacorazado14', 'coda666', 'Axyela2508']",Unrated,,"['Harbor', 'Sova', 'Jett', 'Vyse', 'Neon']",214.000,0,7,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,Chiste sad002,Breeze,Premier,Neon,Duelista,10,1,18,8,"['Axyela2508', 'papa pito', 'Aaronnn17', 'angelutrix']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",144.095,1,5,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,Chiste sad002,Breeze,Premier,Neon,Duelista,10,4,17,9,"['Axyela2508', 'Aaronnn17', 'papa pito', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",176.111,2,4,0,5,13
d03bea05-5418-4ef6-a096-ee9c546f3027,Chiste sad002,Ascent,Competitive,Neon,Duelista,11,5,17,5,"['PITI8', 'MrCurrito', 'ДУХИ', 'XxHvFxX2511']",Bronze,2,"['Neon', 'Killjoy', 'Tejo', 'KAY/O', 'Miks']",238.059,3,3,0,4,13
767dc04e-77ae-4fa9-b5b8-28e30ea0fcc4,Chiste sad002,Pearl,Competitive,Neon,Duelista,21,2,14,15,"['TOCXITO', 'kenn', 'HACENDADO', 'XCXG4MEZ']",Bronze,2,"['Neon', 'Reyna', 'Chamber', 'Tejo', 'Viper']",278.667,5,1,1,13,8
f921d62e-c395-4ce6-9ea1-945589cfc47c,Chiste sad002,Icebox,Unrated,Neon,Duelista,11,3,17,11,"['Aaronnn17', 'titanacorazado14', 'coda666', 'Axyela2508']",Unrated,,"['Harbor', 'Sova', 'Jett', 'Vyse', 'Neon']",214.000,0,7,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,Chiste sad002,Breeze,Premier,Neon,Duelista,10,1,18,8,"['Axyela2508', 'papa pito', 'Aaronnn17', 'angelutrix']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",144.095,1,5,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,Chiste sad002,Breeze,Premier,Neon,Duelista,10,4,17,9,"['Axyela2508', 'Aaronnn17', 'papa pito', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",176.111,2,4,0,5,13
d03bea05-5418-4ef6-a096-ee9c546f3027,Chiste sad002,Ascent,Competitive,Neon,Duelista,11,5,17,5,"['PITI8', 'MrCurrito', 'ДУХИ', 'XxHvFxX2511']",Bronze,2,"['Neon', 'Killjoy', 'Tejo', 'KAY/O', 'Miks']",238.059,3,3,0,4,13
767dc04e-77ae-4fa9-b5b8-28e30ea0fcc4,Chiste sad002,Pearl,Competitive,Neon,Duelista,21,2,14,15,"['TOCXITO', 'kenn', 'HACENDADO', 'XCXG4MEZ']",Bronze,2,"['Neon', 'Reyna', 'Chamber', 'Tejo', 'Viper']",278.667,5,1,1,13,8
f921d62e-c395-4ce6-9ea1-945589cfc47c,Chiste sad002,Icebox,Unrated,Neon,Duelista,11,3,17,11,"['Aaronnn17', 'titanacorazado14', 'coda666', 'Axyela2508']",Unrated,,"['Harbor', 'Sova', 'Jett', 'Vyse', 'Neon']",214.000,0,7,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,Chiste sad002,Breeze,Premier,Neon,Duelista,10,1,18,8,"['Axyela2508', 'papa pito', 'Aaronnn17', 'angelutrix']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",144.095,1,5,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,Chiste sad002,Breeze,Premier,Neon,Duelista,10,4,17,9,"['Axyela2508', 'Aaronnn17', 'papa pito', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",176.111,2,4,0,5,13
